RespondentID,Persona,Age,Gender,MaritalStatus,CityTier,Education,NumDependents,EmploymentStatus,YearsEmployed,AnnualIncome_INR,IncomeStability,SecondaryIncome_INR,SavingsPct_Monthly,SavingsBalance_INR,SpendingPattern,CreditUtilization,UPI_TxnMonthly,HasCreditCard,AppBasedLoan,PrimaryLoanType,LoanPurpose_New,LoanAmountSought,LoanTermMonths,ExistingDebt_INR,MonthlyEMI_INR,DebtToIncomeRatio,CreditHistoryYears,NumCreditAccounts,NumHardInquiries,MissedPayments,Bankruptcies,RepaymentHistory,HasProperty,HasVehicle,InvestmentValue_INR,EmergencyFundMonths,RiskTolerance,FinLiteracyScore,HasFinancialPlan,IncomeShockLast3Yr,FamilyBurdenScore,CreditScore,LoanApproved,MarketingSegment,ApprovalProbability
IND00001,Urban_Salaried,46,Female,Married,Tier2,Postgraduate,1,Salaried_Private,14,241336.0,Seasonal,14601.0,18.980496988810003,99084.0,Borderline,0.4557,36,1,0,Business_Loan,Business,135000.0,60,22434.0,378.0,0.093,10,3,1,5,0,Good,0,0,0.0,0.1,Medium,6.2,1,0,0.15,486,1,Emerging,0.5186
IND00002,Homemaker,46,Male,Single,Rural,Below10th,3,Homemaker,0,10023.0,Stable,13500.0,32.094431410571005,15193.0,Borderline,0.7449,2,0,0,Personal_Loan,Business,399000.0,84,133436.0,1604.0,6.0,6,1,2,0,0,Excellent,0,0,0.0,0.0,Low,5.8,0,0,0.45,483,0,Emerging,0.4066
IND00003,Retired_Govt,64,Female,Married,Tier3,Graduate,2,Retired,30,54583.0,Stable,43069.0,28.48048166860368,21228.0,Just_right,0.3807,10,1,0,Personal_Loan,Personal,377000.0,60,147623.0,2485.0,2.7045,30,4,1,4,0,Excellent,1,1,2021.0,4.5,Low,10.0,0,1,0.6,543,0,AtRisk,0.2791
IND00004,Gig_Worker,44,Female,Married,Tier2,Graduate,1,Self_Employed,17,45198.0,Seasonal,20755.0,16.357484548046685,36659.0,Overspend,0.5744,30,1,1,Home_Loan,Business,679000.0,36,28102.0,788.0,0.6217,7,5,1,3,0,Good,0,1,0.0,0.0,High,7.7,1,0,0.15,480,0,AtRisk,0.3539
IND00005,Rural_Farmer,49,Male,Married,Tier3,10th_12th,3,Self_Employed,14,24016.0,Seasonal,10615.0,23.8558662315218,13392.0,Just_right,0.3612,11,0,0,None,Vehicle,1279000.0,24,2329.0,98.0,0.097,19,2,1,0,1,Good,1,1,17540.0,0.7,Low,5.7,0,0,0.45,450,0,AtRisk,0.3698
IND00006,Urban_Salaried,28,Female,Single,Tier1,Graduate,6,Salaried_Private,10,92815.0,Seasonal,0.0,6.271668295823663,12740.0,Just_right,0.4552,51,1,1,Home_Loan,Home,189000.0,120,178107.0,1499.0,1.9189,3,2,1,2,0,Good,1,1,53085.0,3.7,Medium,4.1,0,0,0.9,465,1,Emerging,0.4873
IND00007,MSME_Owner,28,Female,Married,Tier1,10th_12th,0,Business_Owner,1,1726406.0099193808,Seasonal,4791.0,0.4583357467808504,5189.0,Borderline,0.4499,25,0,1,Car_Loan,Home,323000.0,24,11529.0,485.0,0.0294,5,1,1,0,2,Good,0,1,0.0,0.0,Low,5.6,0,1,0.3,392,1,Emerging,0.5125
IND00008,Gig_Worker,46,Male,Married,Tier3,Diploma,4,Self_Employed,18,25481.0,Seasonal,2611.0,20.927977558834144,13671.0,Well_within,0.2681,12,1,0,Business_Loan,Home,1044000.0,84,6425.0,77.0,0.2521,25,1,0,0,0,Fair,1,1,2049.0,0.4,Low,4.6,0,0,0.6,589,0,Emerging,0.4651
IND00009,Retired_Govt,57,Female,Married,Rural,Postgraduate,3,Retired,34,52010.0,Unstable,44311.0,14.850092950023768,16590.0,Just_right,0.4355,2,0,1,Home_Loan,Education,118000.0,12,16708.0,1406.0,0.3212,30,3,2,2,0,Poor,0,0,0.0,5.5,High,2.2,1,0,0.45,522,0,Emerging,0.4056
IND00010,Homemaker,32,Male,Married,Tier2,Below10th,2,Homemaker,0,11258.0,Stable,0.0,11.748910287212706,3809.0,Just_right,0.2834,27,1,0,Gold_Loan,Personal,314000.0,84,125245.0,1506.0,6.0,3,4,4,0,0,Poor,0,1,0.0,4.8,Medium,6.3,0,0,0.3,458,0,AtRisk,0.2562
